Position,Clean sheets,Goals conceded,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Recoveries,Successful 50/50s,Own goals,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Goals per match,Shots,Shooting accuracy %,Saves,Penalties saved,age,value_eur,overall,Arial Saves,Duels %,Aerial battles %
Forward,0.0,0.0,5.0,0,4.0,0.0,10.0,0.0,0.0,0.0,1,123,17.57,0.0,0.0,0,0.0,0.0,0,0,7,1.0,0,0.0,11.0,36,0.0,0.0,26,6500000,74,0.0,0.0,0.0
Midfielder,0.0,0.0,53.0,62,9.0,29.0,20.0,139.0,14.0,0.0,4,1444,39.03,6.0,129.0,32,3.0,80.0,3,0,23,1.0,0,0.0,20.0,15,0.0,0.0,25,5000000,73,0.0,46.53465346534654,34.375
Defender,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,19,1700000,68,0.0,0.0,0.0
Defender,1.0,6.0,8.0,63,0.0,3.0,56.0,32.0,1.0,0.0,0,185,26.43,0.0,0.0,0,0.0,24.0,1,0,2,0.0,0,0.0,0.0,0,0.0,0.0,28,3200000,73,0.0,66.66666666666667,62.5
Defender,7.0,44.0,54.0,63,4.0,24.0,120.0,155.0,7.0,0.0,3,1275,39.84,6.0,137.0,20,2.0,77.0,3,0,16,3.0,0,0.0,0.0,0,0.0,0.0,25,13000000,79,0.0,48.888888888888886,34.73684210526316
Midfielder,0.0,0.0,1.0,0,1.0,0.0,4.0,15.0,1.0,0.0,0,69,13.8,0.0,7.0,0,0.0,1.0,1,0,1,0.0,1,0.2,4.0,50,0.0,0.0,27,11000000,78,0.0,23.076923076923077,33.333333333333336
Midfielder,0.0,0.0,9.0,67,2.0,6.0,12.0,36.0,7.0,0.0,0,182,30.33,0.0,2.0,0,1.0,9.0,1,0,3,1.0,0,0.0,12.0,33,0.0,0.0,22,9000000,75,0.0,62.264150943396224,68.75
Defender,1.0,14.0,17.0,59,3.0,18.0,66.0,71.0,7.0,0.0,0,600,50.0,0.0,7.0,14,0.0,31.0,1,0,10,0.0,0,0.0,0.0,0,0.0,0.0,22,9000000,75,0.0,50.442477876106196,48.275862068965516
Defender,4.0,30.0,36.0,72,2.0,28.0,95.0,129.0,31.0,0.0,2,901,37.54,4.0,84.0,20,0.0,27.0,1,1,13,4.0,0,0.0,0.0,0,0.0,0.0,20,2800000,70,0.0,54.73684210526316,52.34375
Midfielder,0.0,0.0,9.0,56,2.0,8.0,6.0,22.0,0.0,0.0,1,164,20.5,1.0,1.0,0,1.0,12.0,1,0,5,0.0,0,0.0,2.0,0,0.0,0.0,19,800000,65,0.0,45.16129032258065,0.0
Defender,5.0,26.0,43.0,67,2.0,34.0,76.0,74.0,5.0,0.0,0,619,26.91,0.0,73.0,15,0.0,39.0,1,0,13,0.0,0,0.0,0.0,0,0.0,0.0,28,3200000,73,0.0,53.125,50.0
Defender,6.0,23.0,26.0,50,2.0,38.0,164.0,139.0,5.0,0.0,0,1349,49.96,0.0,0.0,0,1.0,62.0,0,0,8,1.0,0,0.0,0.0,0,0.0,0.0,21,23000000,81,0.0,71.01449275362319,65.88235294117646
Defender,6.0,23.0,26.0,50,2.0,38.0,164.0,139.0,5.0,0.0,0,1349,49.96,0.0,0.0,0,1.0,62.0,0,0,8,1.0,0,0.0,0.0,0,0.0,0.0,23,350000,61,0.0,71.01449275362319,65.88235294117646
Defender,4.0,30.0,25.0,68,2.0,17.0,208.0,95.0,4.0,0.0,1,699,34.95,2.0,2.0,0,1.0,61.0,3,0,17,0.0,2,0.0,0.0,0,0.0,0.0,27,7500000,76,0.0,54.42176870748299,52.56410256410256
Defender,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,19,500000,61,0.0,0.0,0.0
Midfielder,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,26,9000000,77,0.0,0.0,0.0
Midfielder,0.0,0.0,48.0,54,6.0,25.0,25.0,151.0,5.0,0.0,2,1137,49.43,0.0,82.0,23,2.0,57.0,1,1,33,1.0,1,0.04,16.0,19,0.0,0.0,27,8000000,76,0.0,45.37444933920705,36.36363636363637
